   30.6066017178   47.1715728753    2.0000000000
   27.0710678119   50.0000000000    4.0000000000
   34.1421356237   55.6568542495    4.0000000000
   37.6776695297   52.8284271247    2.0000000000

   30.6066017178   47.1715728753    2.0000000000
   34.1421356237   44.3431457505    4.0000000000
   41.2132034356   50.0000000000    4.0000000000
   37.6776695297   52.8284271247    2.0000000000

   30.6066017178   47.1715728753    2.0000000000
   34.1421356237   44.3431457505    0.0000000000
   41.2132034356   50.0000000000    0.0000000000
   37.6776695297   52.8284271247    2.0000000000

   30.6066017178   47.1715728753    2.0000000000
   27.0710678119   50.0000000000    0.0000000000
   34.1421356237   55.6568542495    0.0000000000
   37.6776695297   52.8284271247    2.0000000000

   30.6066017178   47.1715728753    2.0000000000
   27.0710678119   50.0000000000    4.0000000000
   34.1421356237   55.6568542495    4.0000000000
   37.6776695297   52.8284271247    2.0000000000

