   40.5060966544   49.2928932188    3.0000000000
   42.5060966544   45.8287916037    3.0000000000
   42.5060966544   45.8287916037    7.0000000000
   40.5060966544   49.2928932188    7.0000000000

   40.5060966544   49.2928932188    3.0000000000
   44.5060086531   49.2928424112    3.0000000000
   44.5060086531   49.2928424112    7.0000000000
   40.5060966544   49.2928932188    7.0000000000

   40.5060966544   49.2928932188    3.0000000000
   42.5060086531   52.7569440264    3.0000000000
   42.5060086531   52.7569440264    7.0000000000
   40.5060966544   49.2928932188    7.0000000000

   40.5060966544   49.2928932188    3.0000000000
   38.5060966544   52.7569948340    3.0000000000
   38.5060966544   52.7569948340    7.0000000000
   40.5060966544   49.2928932188    7.0000000000

   40.5060966544   49.2928932188    3.0000000000
   36.5061846557   49.2929440264    3.0000000000
   36.5061846557   49.2929440264    7.0000000000
   40.5060966544   49.2928932188    7.0000000000

   40.5060966544   49.2928932188    3.0000000000
   38.5061846557   45.8288424112    3.0000000000
   38.5061846557   45.8288424112    7.0000000000
   40.5060966544   49.2928932188    7.0000000000

   40.5060966544   49.2928932188    3.0000000000
   42.5060966544   45.8287916037    3.0000000000
   42.5060966544   45.8287916037    7.0000000000
   40.5060966544   49.2928932188    7.0000000000

